SampleID,Location,Soil,Status,Planting,Breeding
423,Guizhou,Loam,Diseased,Monoculture,Weiyu5
424,Guizhou,Loam,Diseased,Monoculture,Weiyu5
425,Guizhou,Loam,Healthy,Intercropping,Unclear
426,Guizhou,Loam,Healthy,Intercropping,Unclear
427,Guizhou,Loam,Healthy,Intercropping,Unclear
428,Guizhou,Loam,Healthy,Intercropping,Unclear
429,Guizhou,Loam,Healthy,Intercropping,Unclear
430,Guizhou,Loam,Diseased,Intercropping,Weiyu5
431,Guizhou,Loam,Diseased,Intercropping,Weiyu5
432,Guizhou,Loam,Diseased,Intercropping,Weiyu5
433,Guizhou,Loam,Diseased,Intercropping,Weiyu5
434,Guizhou,Loam,Diseased,Intercropping,Weiyu5
435,Guizhou,Loam,Diseased,Monoculture,Weiyu5
436,Guizhou,Loam,Diseased,Monoculture,Weiyu5
437,Guizhou,Loam,Diseased,Monoculture,Weiyu5
438,Guizhou,Loam,Diseased,Monoculture,Weiyu5
439,Guizhou,Loam,Diseased,Monoculture,Weiyu5
440,Guizhou,Loam,Diseased,Intercropping,Qingshu9
441,Guizhou,Loam,Diseased,Intercropping,Qingshu9
442,Guizhou,Loam,Diseased,Intercropping,Qingshu9
443,Guizhou,Loam,Diseased,Intercropping,Qingshu9
444,Guizhou,Loam,Diseased,Intercropping,Qingshu9
445,Guizhou,Loam,Diseased,Monoculture,Qingshu9
446,Guizhou,Loam,Diseased,Monoculture,Qingshu9
447,Guizhou,Loam,Diseased,Monoculture,Qingshu9
448,Guizhou,Loam,Diseased,Monoculture,Qingshu9
449,Guizhou,Loam,Diseased,Monoculture,Qingshu9
450,Guizhou,Loam,Diseased,Monoculture,Qingshu9
451,Guizhou,Loam,Diseased,Monoculture,Qingshu9
452,Guizhou,Loam,Diseased,Monoculture,Qingshu9
453,Guizhou,Loam,Diseased,Monoculture,Qingshu9
454,Guizhou,Loam,Diseased,Monoculture,Qingshu9
455,Guizhou,Loam,Diseased,Monoculture,Weiyu3
456,Guizhou,Loam,Diseased,Monoculture,Weiyu3
457,Guizhou,Loam,Diseased,Monoculture,Weiyu3
458,Guizhou,Loam,Diseased,Monoculture,Weiyu3
459,Guizhou,Loam,Diseased,Monoculture,Weiyu3
460,Guizhou,Loam,Diseased,Monoculture,Qingshu9
